username,waktu,konten
Polres Bojonegoro,23-05-2025 09:45,"Polres Bojonegoro Polres Bojonegoro @PIDM_Bojonegoro · Donor Darah Sambut Hari Bhayangkara ke-79

@divisihumaspolri @Spripim_Polri @humaspoldajatim @gegana_id #PolriUntukMasyarakat #PresisiUntukIndonesia #HumanisTegakkanHukum #PolresBojonegoro #poldajatim 18 18 18 35 35 35 64 64 64"
intel imut,23-05-2025 17:27,"intel imut intel imut @Intel_Imut · Commentary account TNI dan  POLRI Sinergitas

Jangan berasumsi macam2 untuk pecah belah Partai Gerindra Partai Gerindra @Gerindra · Prabowo Teken Perpres, Jaksa Kini Dapat Perlindungan TNI-Polri  https://news.detik.com/berita/d-7926481/prabowo-teken-perpres-jaksa-kini-dapat-perlindungan-tni-polri… https:// 81/prabowo-teken-perpres-jaksa-kini-dapat-perlindungan-tni-polri … 3 3 3 218 218 218"
TMC Polda Metro Jaya,23-05-2025 07:53,TMC Polda Metro Jaya TMC Polda Metro Jaya @TMCPoldaMetro · 07.53 Mobil menabrak pembatas jalan di Jl. Gatot Subroto Jakpus depan DPR/MPR Ri arah Slipi saat ini sudah selesai penanaganan  Polri 1 1 1 2.1K 2.1K 2.1K
Detective.bekasi,23-05-2025 08:28,"Detective.bekasi Detective.bekasi @WargaBekesong · @kompascom @DivHumas_Polri @Puspen_TNI  sebagai aparat kalen malu ga sih negara didudukin ormas preman? Apa bodo amat?

Oh iya wong jenderakny aja cium tangan dan rebutan selfi 1 1 1 3 3 3 51 51 51 6.3K 6.3K 6.3K"
humasacehtimurpoldaaceh,23-05-2025 14:27,"humasacehtimurpoldaaceh humasacehtimurpoldaaceh @polresatim · POLSEK DARUL AMAN PASANG SPANDUK HIMBAUAN KAMSELTIBCARLANTAS DI LOKASI RAWAN KECELAKAAN

Dengan pemasangan spanduk imbauan ini dapat meningkatkan kesadaran masyarakat dalam berlalulintas. @DivHumas_Polri @bidhumasaceh @NTMCLantasPolri https:// sek-darul-aman-pasang-spanduk-himbauan-kamseltibcarlantas-di-lokasi-rawan-kecelakaan/ … 2 2 2 20 20 20"
Polres Tolikara,23-05-2025 10:46,"Polres Tolikara Polres Tolikara @TolikaraPolres · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., apresiasi  Polri  yang dinilai gercep dalam menangani konten menyimpang hubungan sedarah atau inses dan pornografi yang dimuat dalam grup Facebook 'Fantasi Sedarah' dan 'Suka Duka.’   #ProfesionalTegakkanHukum 3 3 3 26 26 26"
humasacehtimurpoldaaceh,23-05-2025 14:08,"humasacehtimurpoldaaceh humasacehtimurpoldaaceh @polresatim · JUM’AT BERKAH, KAPOLSEK PEUREULAK SERAHKAN BANTUAN KEPADA LANSIA

Kegiatan ini adalah bentuk kepedulian Polsek Peureulak terhadap masyarakat, khususnya para lansia yang membutuhkan uluran tangan.  @DivHumas_Polri @bidhumasaceh https:// at-berkah-kapolsek-peureulak-serahkan-bantuan-kepada-lansia/ … 3 3 3 7 7 7"
Polres Trenggalek,23-05-2025 10:45,"Polres Trenggalek Polres Trenggalek @1trenggalek · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat  Polri  atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'.  Polri  Terus Berkomitmen  #ProfesionalTegakkanHukum  Tuntas Ungkap Kejahatan 3 3 3 9 9 9 16 16 16 76 76 76"
GELORA NEWS,23-05-2025 16:17,"GELORA NEWS GELORA NEWS @geloraco · Netizen Soroti Lekukan di Tengah Fotokopi Ijazah Jokowi yang Ditampilkan  Polri : Kok Ada Lipatannya, Ijazah Apa Duit? Netizen Soroti Lekukan di Tengah Fotokopi Ijazah Jokowi yang Ditampilkan Polri: Kok Ada Lipatannya,... 6 6 6 12 12 12 25 25 25 789 789 789"
Polres Bojonegoro,23-05-2025 09:42,"Polres Bojonegoro Polres Bojonegoro @PIDM_Bojonegoro · Pembinaan Rohani dan Mental, Tingkatkan Iman dan Taqwa Personel

@divisihumaspolri @Spripim_Polri @humaspoldajatim @gegana_id #PolriUntukMasyarakat #PresisiUntukIndonesia #HumanisTegakkanHukum #PolresBojonegoro #poldajatim 19 19 19 38 38 38 73 73 73"
